[1]  In this chapter there are a number of specific things that I wish to discuss with you.
[48]  All of you young people who have studied away from home do know that when you come home for vacation, the one thing that your mothers love most to do is to sit you down and feed you the food they have prepared for you.
[49]  We all need to have a proper concept of the meetings.
[50]  We do not come to the meeting to worship ; we come to the meeting to enjoy.
[51]  When we read the Old Testament, in Exodus, Leviticus, Numbers, and Deuteronomy we do see numerous instances where God told the Israelites that their center of worship was to be Mount Zion in Jerusalem.
[52]  I said yesterday that if you come to the home meetings, it proves that you love the Lord.
[53]  If you have not thoroughly prayed before the Lord for three weeks, even though you may have been busy attending meetings, pursuing the truth, working on the campus, and doing all kinds of spiritual works, you will not sense that Christ is making His home in you.
[54]  At those times my greatest hope is that the meeting time would come quickly; I have a strong appetite for the meeting.
[55]  When we all behold the Lord with unveiled face, that is, when we behold Him face to face, we reflect the Lord and are transformed into His glorious image, from glory to glory.
[56]  If we allow the Lord to make His home in our hearts, and are willing to have our veils taken away, we will have an unveiled face to behold Him and will be transformed into His image.
[57]  As you fellowship with the Lord this way, you may say to the Lord, No cordial like gladness my strength can restore, for joy is the fountain of healing.
[58]  If in your daily life you let the Lord make home in you, and if you are being transformed into His image by beholding His glory with unveiled face, then He will lead you.
[59]  Brothers and sisters, you need to see that the key to the home meetings is that we live in the Lord in our daily life.
[60]  When we come to the meeting, I bring the Lord I have enjoyed, you bring the Lord you have enjoyed, he brings the Lord he has enjoyed.
[61]  CHAPTER FIVE EVERYONE BRINGING IN PEOPLE Scripture Reading: S. S. 1:8; John 1:40, 42; Acts 10:42; 16:31; John 5:2, 4, 5, 8-16; 4:39-42; 21:15-17; Acts 11:25-26; 1 Thes 5:14; James 5:19-20
[62]  I have a Savior, He s pleading in glory,
[63]  For you I am praying, for you I am praying,
[64]  Let us go on to see a key to the home meetings.
[65]  Today we want to bring out one key to the home meetings, that is, to bring others to our meetings.
[66]  If we desire to see our home meetings prosper, everyone must bring others to the meetings.
[67]  If you would do this, and he would do this, soon the number in the home meetings would increase.
[68]  Her word to the Lord was, Tell me, you whom my soul loves, Where do you pasture your flock?
[69]  If you do not bear fruit, you are doing something other than the Lord s destiny for you, and you will lose the enjoyment of the Lord.
[70]  John chapter one shows us that after Andrew met the Lord, immediately he found his own brother and said to him, We have found the Messiah v. 41 . He then led him to see Jesus.
[71]  When Philip met the Lord, he went and found Nathanael, and said to him, We have found Him of whom Moses in the law, and prophets, wrote v. 45 . Nathanael had more knowledge than Philip did.
[72]  Every lover of the Lord must be like paste; he must be able to be spread anywhere.
[73]  There are still many relatives and intimate friends whom we must try our best to bring in. Acts 1:8 says, But you shall receive power when the Holy Spirit comes upon you, and you shall be My witnesses both in Jerusalem and in all Judea and Samaria and unto the uttermost part of the earth.
[74]  SPEAKING THE WORD OF GOD Scripture Reading: 1 Tim 3:15-16, 2, 9; 2 Tim 2:2, 15; Rev 1:2, 9
[75]  In the home meeting, when we say that we want everyone to speak, we mean that everyone should speak God s word.
[76]  I am giving you all these examples to show you that within the last fifteen years the Lord has moved on tremendously all over the world.
[77]  Through the home meetings, the brothers and sisters will all receive nourishment from the Lord s word, and the word of the Lord will spread everywhere.
[78]  Starting from December 15, every Lord s Day morning we will be divided into classes for our truth lessons.
[79]  Then on the Lord s Day evening, after the Lord s table meeting we will reserve half an hour for fellowship concerning a message on life.
[80]  By the time the weekend comes, when we come to the home meetings, we will have prepared another message for fellowship.
[81]  Then when you go to visit people one-on-one, you will have at least one or two spiritual messages with which to supply them.
[82]  When we love the Lord, fellowship with Him, walk according to the Spirit, and are filled in spirit, we will speak to one another in psalms, hymns, and spiritual songs, and we will sing and praise with our hearts to the Lord.
