[1]  CHAPTER EIGHTEEN THE CONTENT OF CHRISTIAN MEETINGS THE EFFECT OF PREACHING THE GOSPEL
[56]  The second passage is 2 Corinthians 4:1, 2 and 5, which says, Therefore having this ministry as we have been shown mercy, we do not lose heart; but we have renounced the hidden things of shame, not walking in craftiness nor adulterating the word of God, but by the manifestation of the truth commending ourselves to every conscience of men before God....For we do not preach ourselves but Christ Jesus as Lord, and ourselves as your slaves for Jesus sake.
[57]  In these passages of the Scriptures, Paul shows us not only the mystery of God hidden throughout the ages but also the all-inclusive Christ.
[58]  A BRIEF HISTORY OF THE BEGINNING OF THE WORK IN THE UNITED STATES
[59]  Although there is a general preaching of the gospel, there is no gospel concerning the hidden mystery or the high gospel concerning Christ in us.
[60]  It is no easy task to open up a wasteland, but it is an indisputable fact that there are millions of people scattered in every major continent of the world, waiting for people to save their souls.
[61]  It is a glorious matter for us to go out for the Lord.
[62]  Although we are not the ones who sowed, the Lord has already sown through others, so all we need to do is to reap.
[63]  We should not be afraid of hardships when we serve in each locality, because we have the treasure.
[64]  If we add to the treasure our labor and struggle, I believe that the whole earth will be ours.
[65]  After being gained by the Lord, a certain brother of Jewish descent traveled not only throughout the United States but also to Taiwan.
[66]  What we need now is not to live a life in paradise but rather to go to various localities to labor, struggle, work the mystery of God into others, and let the mystery of Christ shine forth.
[67]  It is a great mercy given to us by the Lord that not only do we not adulterate the word of God, but we also release and strengthen the word of God.
[68]  The Lord not only reveals to us the mystery of God but also shows us that this mystery is both on the Lord s side and on ours.
[69]  OF THE NEW COVENANT THE MINISTERS OF THE NEW COVENANT
[70]  Second Corinthians 3:6 says, Who has also made us sufficient as ministers of a new covenant, ministers not of the letter but of the Spirit.
[71]  If we have no ordinances or rituals, yet we still live a life that is higher than others , this will prove that we are not of the letter but of life and of the Spirit.
[72]  When we conduct a home meeting, the first impression that people in the home obtain from us is not what message we speak or how we teach them but what kind of person we are.
[73]  Their first impression is whether we are light persons or weighty persons, whether we are loose or grave.
[74]  The Bible tells us that as those who serve the Lord, elders and deacons should have the same kind of character, one which is grave 1 Tim 3:2-4, 8 .
[75]  If our life is light and flighty, it is because we do not have enough of God within us.
[76]  Second Corinthians 3:18 says, But we all with unveiled face, beholding and reflecting like a mirror the glory of the Lord, are being transformed into the same image from glory to glory, even as from the Lord Spirit.
[77]  Just as the love of God means that God and love are one, and the life of God means that God and life are one, the ministry of the Spirit means that the Spirit and the ministry are one.
[78]  Our being spiritual and our work becoming spirit depend on how much we know the mystery of God.
[79]  Therefore, the extent to which we know and experience Christ as the mystery of God is the extent to which we are spiritual.
[80]  CHAPTER TWENTY-FIVE GOD S NEW TESTAMENT ECONOMY THE GLORY OF THE MYSTERY OF GOD
[81]  God had a mystery that even the angels did not know.
[82]  Then He called the apostles and prophets and revealed the mystery to them v. 5 . Since this was done in the New Testament age, it is called the New Testament economy.
[83]  However, after God became flesh, lived on the earth, chose the apostles, went to the cross to die, resurrected, ascended, and accomplished this mystery, He sent His apostles to the lands of the Gentiles to bring this mystery to them.
[84]  Whether or not the Lord can come back depends not merely on our going door-knocking but on how much we know Him inwardly, how much glory He has within us, and how much we have enjoyed His riches.
[85]  In Colossians 1:28 Paul continues to say, Whom we announce...in all wisdom.
[86]  We need to learn to exercise not only one kind of wisdom but all wisdom, which includes various kinds of wisdom.
[87]  In the practice of the new way in the church we do not want oldness, but we also need to exercise all wisdom.
[88]  Ephesians 3:8 says, To me, less than the least of all saints, was this grace given to announce to the Gentiles the unsearchable riches of Christ as the gospel.
[89]  Paul said that the Lord gave him grace, and this grace enabled him to struggle and minister Christ to others.
[90]  God gave this grace to Paul so that he could announce the unsearchable riches of Christ, the riches he had seen and experienced, as the gospel.
[91]  If we know this mystery and also see what this mystery is in God s hand, in His mind, and in His wise arrangement, economy, plan, and administration, it will occupy our whole life.
[92]  God gave Paul the grace to do two things: first, to announce to the Gentiles the unsearchable riches of Christ as the gospel, and second, to enlighten all that they may see what the economy of the mystery is, which throughout the ages has been hidden in God, who created all things v. 9 . This is the commission and charge Paul received through the grace of God.
[93]  This chapter does not say that man is sinful, that the Lord Jesus died for man, and that if we believe in Him, we will have joy and peace.
[94]  This is because the gospel in Christianity always begins from the sinners side, saying that we are sinners who deserve to perish, that all kinds of disasters and sufferings are upon us today because we are sinful, and that we should repent.
[95]  On the whole, people mainly know the gospel of the forgiveness of sins, preaching only that man is sinful but that because of God s love Christ died for us to redeem us, and if we believe in Him, we will have peace, joy, and everlasting life.
[96]  This does not mean that we no longer acknowledge that we are sinners or that we do not acknowledge that the Lord Jesus died for us.
[97]  Chapter sixteen concludes by saying that the gospel of God is according to the mystery that has been hidden in eternity, that is, the mystery which has been kept in silence in the times of the ages v. 25 . Romans begins from man s sins in chapter one and ascends all the way to speak about the mystery hidden in the times of the ages.
[98]  If we are not living in the church, this mystery also has very little to do with us practically; the church is the church, and we are we, and there is not much connection between the two.
[99]  Today when He as the mystery comes into us, He becomes a mystery in us.
[100]  Therefore, when we say that man was created by God according to His own image, we mean that man was created by God according to Christ.
[101]  After four thousand years, many things had happened among mankind, but this mystery was still in God and had not yet entered into man.
[102]  It was when God Himself was incarnated and entered into man that He became the mystery in man.
[103]  May we not only hear this, but may we also see the video that the mystery in God one day became the mystery in Jesus Christ, who is in us today and has become our hope of glory.
[104]  Paul said, Confessedly, great is the mystery of godliness: He God who was manifested in the flesh 1 Tim 3:16 .
[105]  When we speak Christ to our parents, they may want to know the details of this mystery.
[106]  The more we try to answer them, though, the more easily we fall into a trap and the more they will not understand.
[107]  In the beginning, the mystery that was in God was kept in silence, and today it is hard for us to break the silence.
[108]  AND THE MEANING OF TRAINING TO SERVE THE LORD
[109]  If we want to work for the Lord, we must learn continually.
[110]  The Lord s work requires not only one person with a Ph.D. but many, who know astronomy, geography, business, economics, and other subjects, because all these are related to human living.
[111]  In the Chinese educational system, economics is an all-inclusive subject, but the Lord s work is even more inclusive than economics.
[112]  God s economy is God s plan, and this plan, this intention, is for the Triune God the Father, the Son, and the Spirit to dispense Himself into man step by step to be man s life and be lived out from him in order to gain corporate sons who are constituted to be the Body of Christ, which appears in each locality as the local churches in which we, the members of the Body, serve the Lord.
[113]  Paul also said that he was appointed to be a teacher of the Gentiles 2:7 .
[114]  First and 2 Timothy speak about the training a person must receive in order to serve God.
[115]  Although these two books are short, the points that they cover encompass the entire content of God s economy.
[116]  The second item we need to exercise is to call on the name of the Lord.
[117]  Whereas to pray is to ask or tell something to the Lord, calling is simply to breathe.
[118]  If we live by ourselves, what we live out will definitely not be God, but if we live by the life of God, what we live out will be God.
[119]  The sixth item of exercise is to be empowered in the grace of Christ 2 Tim 2:1 .
[120]  We all know that the grace of Christ is Christ Himself.
[121]  The expression the grace of Christ is simple, but its meaning is broad and profound.
[122]  Christ is the embodiment of God, and grace is the Triune God dispensing Himself in His embodiment into us as our enjoyment.
[123]  According to the grammar of the Greek New Testament, the grace of the Lord Jesus Christ means that Jesus Christ is grace, the love of God means that God is love, and the fellowship of the Holy Spirit means that the Holy Spirit is fellowship.
[124]  Without the Holy Spirit there is no fellowship, without God there is no love, and without Jesus Christ there is no grace.
[125]  We do not merely read the word of God, but we read the word of God by means of prayer, that is, we pray-read the word of God.
[126]  Although we have much spiritual deposit within us God, the Lord, and the word if we do not rely on the indwelling Holy Spirit but walk according to our will, this inward deposit will be nullified.
[127]  Today many Christians not only do not know how to preach God s economy, but they do not know what God s economy is.
[128]  The Divine Trinity has a divine dispensing, and what He dispenses into us is the Triune God Himself as our life to regenerate us, sanctify us, and transform us so that we may be conformed to the image of His firstborn Son and become God s many sons.
[129]  Without the washing of feet, they say, there is no love for one another, and without loving one another we do not appear to be the Lord s disciples and thus are not worthy to partake of the Lord s supper.
[130]  CHAPTER TWENTY-NINE FELLOWSHIP ON STAYING IN TAIPEI OR RETURNING TO THE RESPECTIVE LOCALITIES
[131]  In August of 1986 we held the first term of the full-time training in Taipei.
[132]  The main purpose of the training is to perfect the trainees to take the new way, to bring sinners to the Lord that they may repent and be saved, and to continue to take care of them.
[133]  At this time there are about eight thousand five hundred new ones under our care, and we have meetings in their homes.
[134]  Question: For those of us who want to stay, should we fellowship with our respective localities by phone or mail, or should we return to our localities to fellowship with them?
[135]  When we say that we need to receive the one leading, it does not mean that we receive the leading of a certain person but that we receive the leading of the Lord s move.
